backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,41,sum,88733,88733,0.01,vl6y1axq,azure-mountain-623,0.6066884661906163,64.434233373,0.8523046296768925,0.3551596940885189,0.60439024659983,1764079490.2982793,64,0.3551596940885189,0.60439024659983,22,2.133255158334519,0.8043144123534458,0.6066884661906163,0.8523046296768925,2.5560841909094405,1.2683752336807512,0.8043144123534458,0.6155930455834789,0.6155930455834789,1.2683752336807512
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,42,sum,88733,88733,0.01,wwv4s6ta,amber-pond-624,0.6044365090055597,65.573149961,0.8535041600735032,0.35251592559811856,0.6025311997383713,1764079568.6128757,65,0.35251592559811856,0.6025311997383713,23,2.2050679894662224,0.7762010294538175,0.6044365090055597,0.8535041600735032,2.6599976569030637,1.3113942991112313,0.7787031741492708,0.6474290988702314,0.6474290988702314,1.3113942991112313
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,43,sum,88733,88733,0.01,xjcuy92g,balmy-flower-625,0.6051997048905982,66.748843039,0.8537763939223794,0.3521443180676622,0.5987493436455031,1764079648.0230458,66,0.3521443180676622,0.5987493436455031,23,2.1329595005645183,0.7913926222476408,0.6051997048905982,0.8537763939223794,2.714852341642235,1.318089182040403,0.7913926222476408,0.6335065987984863,0.6335065987984863,1.318089182040403
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,44,sum,88733,88733,0.01,r5ax60vx,dulcet-spaceship-626,0.6065839511573811,60.193703525,0.8521940346757865,0.35647070881475534,0.6051821762990741,1764079720.7816188,60,0.35647070881475534,0.6051821762990741,21,2.053754092524111,0.7847083214183586,0.6065839511573811,0.8521940346757865,2.6385597387722366,1.2769194593728186,0.7847083214183586,0.6663749647508664,0.6663749647508664,1.27684352417179
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI12,,0.0005,nep,1,,lstm,45,sum,88733,88733,0.01,s5xrzrsn,electric-vortex-627,0.5995725566207883,68.910496642,0.8537593793068246,0.35301976245052386,0.5944807993657664,1764079802.235874,68,0.35301976245052386,0.5944807993657664,24,2.267769626440032,0.8094438089791249,0.5995725566207883,0.8537593793068246,2.589284476140993,1.320337745268617,0.8094438089791249,0.5731238938755125,0.5731238938755125,1.2784477127324454
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,41,sum,88894,88894,0.01,0impe63k,snowy-grass-628,0.5157026453120526,157.410142773,0.889520965886457,0.2941599034030625,0.5202421157907792,1764079983.0476885,157,0.2941599034030625,0.5202421157907792,16,1.000700576095772,0.8698801554520114,0.5157026453120526,0.889520965886457,1.191318594108724,0.9572703630412706,0.8711891536275527,0.3495763522197478,0.34284436337680596,0.7982446032239696
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,42,sum,88894,88894,0.01,51605uam,fine-universe-629,0.5160074024943653,154.582734255,0.8895097969866308,0.2946795646517971,0.5191811009078517,1764080160.7456307,154,0.2946795646517971,0.5191811009078517,16,0.9695585339869528,0.8689407966576461,0.5160074024943653,0.8895097969866308,1.1475270668880635,0.9418067304715848,0.8689713173404955,0.34594747364153555,0.34594747364153555,0.7820845191848919
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,43,sum,88894,88894,0.01,e3n940hx,decent-breeze-630,0.5157120047267957,164.92733906,0.8895197248975873,0.2935477612535949,0.5181072966969132,1764080349.1375468,164,0.2935477612535949,0.5181072966969132,17,0.7710545664737029,0.8739868828887487,0.5157120047267957,0.8895197248975873,1.0963868258836904,0.9556517476727184,0.8739868828887487,0.33150753256397236,0.33150753256397236,0.7243195376957391
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,44,sum,88894,88894,0.01,sn2b0vlf,atomic-pine-631,0.5154592389110276,166.418271443,0.888997268583498,0.29368360607672184,0.5173523802322854,1764080539.042374,166,0.29368360607672184,0.5173523802322854,17,0.8952624243967316,0.8669908641422671,0.5154592389110276,0.888997268583498,1.0915698443042472,0.9434968389500928,0.8669908641422671,0.3370325154980888,0.3370325154980888,0.7583220111485405
rnn,32,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,32,25,,,5,128,BPI17,,0.0005,nep,1,,lstm,45,sum,88894,88894,0.01,pietak5h,ethereal-hill-632,0.5160170726865335,156.026118729,0.8892330564687165,0.2943173113167256,0.5185298387884199,1764080718.4224014,156,0.2943173113167256,0.5185298387884199,16,0.8550997181099003,0.8673672858974099,0.5160170726865335,0.8892330564687165,1.1176254524254088,0.9349926013837738,0.8673672858974099,0.34753882621805343,0.34753882621805343,0.7587906917558801
