id,log,backbone,project,fine_tuning,total_params,trainable_params,test_next_activity_acc,test_next_activity_loss,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,best_test_next_activity_loss,best_test_next_remaining_time_loss,best_test_next_time_to_next_event_loss,_runtime,mt_score
oy378knj,BPI20TravelPermitData,majority,llm-peft-ppm_majority_baseline,,1.0,1.0,0.0783883914788515,7.390187048728027,1.459291628548745,1.2475121456003735,0.0783883914788515,7.390187048728027,1.459291628548745,1.2475121456003735,23.808586843,2.005457467664259
63egq6nz,BPI20TravelPermitData,majority,llm-peft-ppm_majority_baseline,,1.0,1.0,0.0783883914788515,7.390187048728027,1.459291628548745,1.2475121456003735,0.0783883914788515,7.390187048728027,1.459291628548745,1.2475121456003735,24.664638906,2.005457467664259
2xq4onj5,BPI20TravelPermitData,rnn,llm-peft-ppm_rnn,,222391.0,222391.0,0.7300092621179376,0.9045673121858356,0.9036726244661168,0.9095370964858224,0.7300092621179376,0.9045673121858356,0.8041656270370178,0.8947197831976226,41.823766882,2.7875480907844654
drys4liq,BPI20TravelPermitData,transformer,llm-peft-ppm_transformer_baseline,,940471.0,940471.0,0.7208706390861377,0.7975414807283425,0.7965253930652756,0.8240003366167069,0.7208706390861377,0.7975414807283425,0.7606751185502856,0.8113036181316511,45.232951501,2.7889033259579206
6iz39u34,BPI20TravelPermitData,gpt2,llm-peft-ppm_gpt2,lora,162286135.0,37846327.0,0.7287434393331275,0.8428958499457373,0.8346101121351873,0.8616702295888092,0.7287434393331275,0.8428958499457373,0.8346101121351873,0.8616702295888092,499.348710008,2.7931427339085495
dhjjoo4q,BPI20TravelPermitData,gptneo-1b3,llm-peft-ppm_gpt-neo-1.3B,lora,1366167607.0,50591799.0,0.7381290521765977,0.9018026427892889,0.9387518450521178,0.9831624812202419,0.7381290521765977,0.9018026427892889,0.8767308492504472,0.9305692807286196,645.935700518,2.790014002459812
n84z8h1p,BPI20TravelPermitData,qwen25-05b,llm-peft-ppm_qwen25-05b,lora,634917943.0,140885175.0,0.7390552639703613,0.9264611990005008,1.0982437044280884,0.8745913037991737,0.7602655140475455,0.8425193852574488,0.8619110624743818,0.8480067738341343,766.364530702,2.788424813926956
60bnfhai,BPI20TravelPermitData,llama32-1b,llm-peft-ppm_llama32-1b,lora,1416429623.0,180615223.0,0.7362148811361532,0.9464334899534887,0.978291300543667,0.907805958865932,0.7362148811361532,0.9464334899534887,0.9232801208307656,0.8795155571433783,778.945395141,2.790221618018937
0g8hju91,BPI20TravelPermitData,llama32-1b,llm-peft-ppm_llama32-1b,lora,1416429623.0,180615223.0,0.7362148811361532,0.9464334899534889,0.978291300543667,0.9078059588659321,0.7362148811361532,0.9464334899534889,0.9232801208307655,0.8795155571433783,719.508723188,2.790221618018937
ddd7c4on,BPI20TravelPermitData,gemma-2-2b,llm-peft-ppm_gemma-2-2b,freeze,2614634551.0,156248119.0,0.6474837912936091,1.305013489023923,0.911673942087756,1.1191742916171954,0.6474837912936091,1.3048626783417492,0.8931484411733686,0.99010928552362,1364.035901581,2.6818259102099375
